topic_id,doc_count,pair_count,elapsed_seconds,status
104,25654,5,2.895815976895392,ok
48,12997,7,0.6280190390534699,ok
105,5455,0,0.5006803902797401,ok
50,4719,0,0.49227649811655283,ok
49,4561,1,0.4354761950671673,ok
55,4194,1,0.4193220823071897,ok
59,3957,1,0.4202588410116732,ok
11,3677,1,0.4759843838401139,ok
119,3217,1,0.39232083410024643,ok
54,3116,0,0.4275535671040416,ok
118,2826,1,0.4356673751026392,ok
106,2517,0,0.42741683358326554,ok
149,2413,0,0.39991888497024775,ok
109,2259,1,0.40864638006314635,ok
92,2230,0,0.3992815939709544,ok
58,1983,0,0.4007051307708025,ok
51,1981,1,0.38126728869974613,ok
116,1799,3,0.4040630692616105,ok
140,1646,0,0.36669157864525914,ok
144,1621,1,0.37029646523296833,ok
157,1452,1,0.3486998868174851,ok
9,1411,0,0.3789814170449972,ok
57,1328,0,0.3783195009455085,ok
110,1259,0,0.38547481689602137,ok
63,1250,0,0.3563647149130702,ok
68,1224,1,0.37062886403873563,ok
87,1212,0,0.36383652221411467,ok
30,1206,0,0.3680078377947211,ok
52,1187,0,0.39968920685350895,ok
199,1171,0,0.4226931259036064,ok
156,1128,0,0.33335221325978637,ok
12,1106,0,0.3663027938455343,ok
84,1080,0,0.3341881982050836,ok
117,1073,0,0.34392950776964426,ok
153,1006,0,0.33045814326032996,ok
108,894,0,0.35333457542583346,ok
90,884,0,0.3527834531851113,ok
10,884,0,0.3317147037014365,ok
147,879,0,0.3369037741795182,ok
155,856,0,0.36632318096235394,ok
107,742,1,0.34753275802358985,ok
151,737,1,0.3456845716573298,ok
148,715,1,0.330906854942441,ok
146,705,0,0.33201552042737603,ok
88,704,0,0.3352895569987595,ok
85,696,0,0.33178809424862266,ok
62,679,0,0.32440285384655,ok
31,668,0,0.3259447389282286,ok
56,653,0,0.3281981577165425,ok
154,591,0,0.33132191095501184,ok
126,583,0,0.3550548763014376,ok
111,577,0,0.33245470002293587,ok
143,555,0,0.32957700407132506,ok
53,543,0,0.3271495350636542,ok
170,533,0,0.3268155539408326,ok
83,532,0,0.3215401447378099,ok
115,527,0,0.3870516773313284,ok
89,516,0,0.33183372113853693,ok
70,499,0,0.32117556873708963,ok
150,441,0,0.37800861336290836,ok
82,429,0,0.3762349300086498,ok
67,408,0,0.33330936217680573,ok
120,407,0,0.320336130913347,ok
198,391,0,0.33461728878319263,ok
25,365,0,0.3298602891154587,ok
158,361,0,0.323701576795429,ok
141,356,0,0.3231099219992757,ok
24,340,0,0.3324402077123523,ok
80,336,1,0.3494119397364557,ok
129,332,0,0.32636940013617277,ok
5,329,0,0.3211519615724683,ok
159,325,0,0.31595256365835667,ok
113,319,0,0.3208639519289136,ok
8,317,0,0.3205313147045672,ok
91,313,0,0.3210614058189094,ok
86,311,0,0.32845702301710844,ok
95,309,0,0.3217243142426014,ok
121,305,0,0.3226275439374149,ok
171,302,0,0.3180302050895989,ok
130,297,0,0.3212684877216816,ok
186,285,0,0.3081939546391368,ok
187,281,0,0.3428046451881528,ok
81,281,0,0.3177824420854449,ok
69,279,1,0.32209910126402974,ok
66,269,0,0.31634564604610205,ok
185,267,0,0.3137739999219775,ok
71,267,0,0.324203141964972,ok
184,266,0,0.3129604351706803,ok
152,264,1,0.31906658317893744,ok
145,261,1,0.3274036510847509,ok
112,260,0,0.31566809630021453,ok
